city,cloudiness,Country,date,humid,lat,lng,max_temp,wind_speed
san patricio,12,MX,03/16/2020,84,19.22,-104.7,76.91,7.09
kodiak,40,US,03/16/2020,64,57.79,-152.41,39.2,9.17
rikitea,3,PF,03/16/2020,79,-23.12,-134.97,79.63,12.71
belaya gora,14,RU,03/16/2020,87,68.53,146.42,-10.98,1.7
dingle,0,PH,03/16/2020,56,11.0,122.67,84.79,11.03
xingyi,58,CN,03/16/2020,49,24.19,102.82,73.36,6.46
chuy,99,UY,03/16/2020,74,-33.7,-53.46,61.84,4.61
khatanga,19,RU,03/16/2020,93,71.97,102.5,-25.28,11.5
hithadhoo,100,MV,03/16/2020,62,-0.6,73.08,83.16,5.84
qaanaaq,100,GL,03/16/2020,51,77.48,-69.36,-2.33,6.87
great yarmouth,0,GB,03/16/2020,93,52.61,1.73,39.99,6.93
biak,54,ID,03/16/2020,74,-0.91,122.88,82.49,5.12
benfleet,0,GB,03/16/2020,93,51.56,0.56,45.0,5.82
shahr-e kord,20,IR,03/16/2020,81,32.33,50.86,32.0,4.7
nurota,100,UZ,03/16/2020,48,40.56,65.69,60.8,6.93
deputatskiy,0,RU,03/16/2020,81,69.3,139.9,-16.01,3.56
leh,0,IN,03/16/2020,45,34.17,77.58,9.41,2.68
avarua,100,CK,03/16/2020,79,-21.21,-159.78,84.2,8.05
aklavik,75,CA,03/16/2020,70,68.22,-135.01,-0.4,4.7
ekuvukeni,61,ZA,03/16/2020,93,-28.47,30.16,62.98,3.8
atuona,0,PF,03/16/2020,65,-9.8,-139.03,82.2,8.75
mataura,97,NZ,03/16/2020,63,-46.19,168.86,54.0,13.0
batemans bay,57,AU,03/16/2020,57,-35.72,150.18,70.0,3.0
upernavik,0,GL,03/16/2020,78,72.79,-56.15,-22.16,6.15
ushuaia,40,AR,03/16/2020,71,-54.8,-68.3,53.6,4.38
esperance,40,AU,03/16/2020,57,-33.87,121.9,78.8,8.05
arraial do cabo,0,BR,03/16/2020,83,-22.97,-42.03,77.9,26.57
veraval,100,IN,03/16/2020,16,20.9,70.37,78.73,18.72
victoria,20,HK,03/16/2020,56,22.29,114.16,75.2,18.34
barrow,90,US,03/16/2020,92,71.29,-156.79,17.6,11.41
luderitz,0,NA,03/16/2020,82,-26.65,15.16,62.6,10.29
hobart,20,AU,03/16/2020,52,-42.88,147.33,69.01,16.11
yellowknife,20,CA,03/16/2020,65,62.46,-114.35,8.6,12.75
bluff,67,NZ,03/16/2020,63,-46.6,168.33,54.0,13.0
hartselle,90,US,03/16/2020,93,34.44,-86.94,48.0,5.82
faanui,8,PF,03/16/2020,71,-16.48,-151.75,83.32,10.18
bethel,1,US,03/16/2020,32,41.37,-73.41,41.0,11.41
cape town,20,ZA,03/16/2020,68,-33.93,18.42,64.4,10.29
bassila,53,BJ,03/16/2020,59,9.01,1.67,76.68,1.77
lasa,75,IT,03/16/2020,85,46.62,10.7,28.99,1.12
vardo,75,NO,03/16/2020,73,70.37,31.11,19.4,10.29
port alfred,100,ZA,03/16/2020,98,-33.59,26.89,62.01,1.99
roald,90,NO,03/16/2020,64,62.58,6.13,35.6,12.75
busselton,91,AU,03/16/2020,59,-33.65,115.33,71.01,3.0
punta arenas,75,CL,03/16/2020,87,-53.15,-70.92,55.4,16.11
lompoc,90,US,03/16/2020,81,34.64,-120.46,54.0,8.05
newark,1,US,03/16/2020,33,40.74,-74.17,44.6,10.29
moron,0,AR,03/16/2020,87,-34.65,-58.62,68.0,5.82
hasaki,40,JP,03/16/2020,32,35.73,140.83,55.4,13.87
qaqortoq,22,GL,03/16/2020,79,60.72,-46.03,19.4,1.12
nueva guinea,5,NI,03/16/2020,94,11.69,-84.46,71.24,7.45
carnarvon,8,AU,03/16/2020,62,-24.87,113.63,84.2,16.11
saint-philippe,90,RE,03/16/2020,74,-21.36,55.77,78.8,11.41
fortuna,75,US,03/16/2020,80,40.6,-124.16,42.8,10.29
hilo,75,US,03/16/2020,69,19.73,-155.09,77.0,13.87
kapaa,20,US,03/16/2020,65,22.08,-159.32,78.8,5.82
puerto ayacucho,98,VE,03/16/2020,65,5.66,-67.62,77.94,2.93
nikolskoye,90,RU,03/16/2020,88,59.7,30.79,33.01,11.18
dikson,100,RU,03/16/2020,100,73.51,80.55,-14.04,8.28
touros,75,BR,03/16/2020,100,-5.2,-35.46,75.2,4.7
nome,100,US,03/16/2020,98,64.5,-165.41,30.61,7.76
sydney,75,AU,03/16/2020,88,-33.87,151.21,71.01,20.8
hamilton,90,US,03/16/2020,86,39.18,-84.53,42.01,6.93
sohbatpur,35,PK,03/16/2020,35,28.52,68.54,70.63,4.54
vaini,90,TO,03/16/2020,83,-21.2,-175.2,84.2,12.75
fairbanks,90,US,03/16/2020,68,64.84,-147.72,30.2,9.17
bredasdorp,76,ZA,03/16/2020,82,-34.53,20.04,62.6,9.17
mar del plata,0,AR,03/16/2020,93,-38.0,-57.56,60.01,2.24
tiksi,100,RU,03/16/2020,81,71.69,128.87,9.09,20.58
olga,44,RU,03/16/2020,54,43.74,135.29,30.25,11.56
namatanai,91,PG,03/16/2020,71,-3.67,152.43,85.71,13.4
tasiilaq,100,GL,03/16/2020,51,65.61,-37.64,10.4,16.11
acarau,100,BR,03/16/2020,97,-2.89,-40.12,75.02,4.07
ponta do sol,75,PT,03/16/2020,72,32.67,-17.1,60.8,13.87
port elizabeth,75,ZA,03/16/2020,93,-33.92,25.57,62.6,2.24
mahebourg,75,MU,03/16/2020,94,-20.41,57.7,79.0,3.36
cabo san lucas,75,MX,03/16/2020,82,22.89,-109.91,70.0,8.25
kaitangata,100,NZ,03/16/2020,83,-46.28,169.85,52.0,1.99
thompson,90,CA,03/16/2020,85,55.74,-97.86,15.8,12.75
ribeira grande,4,PT,03/16/2020,79,38.52,-28.7,56.34,9.33
port hedland,0,AU,03/16/2020,42,-20.32,118.57,100.4,9.17
cayenne,20,GF,03/16/2020,88,4.93,-52.33,77.0,6.62
cherskiy,94,RU,03/16/2020,85,68.75,161.3,8.53,6.58
beringovskiy,77,RU,03/16/2020,85,63.05,179.32,29.1,6.78
pevek,0,RU,03/16/2020,82,69.7,170.31,7.54,12.26
bengkulu,74,ID,03/16/2020,58,-3.8,102.27,88.81,1.43
new norfolk,20,AU,03/16/2020,52,-42.78,147.06,69.01,16.11
mishkino,0,RU,03/16/2020,90,55.34,63.92,28.27,4.05
presidente epitacio,0,BR,03/16/2020,87,-21.76,-52.12,73.71,2.91
yenagoa,99,NG,03/16/2020,89,4.92,6.26,79.56,3.36
tuatapere,78,NZ,03/16/2020,63,-46.13,167.68,54.0,13.0
jalu,0,LY,03/16/2020,26,29.03,21.55,64.78,6.44
luban,91,PL,03/16/2020,32,51.12,15.29,41.0,5.99
pringsewu,17,ID,03/16/2020,69,-5.36,104.97,84.25,4.92
gberia fotombu,100,SL,03/16/2020,72,9.88,-11.17,68.29,4.88
castro,13,BR,03/16/2020,86,-24.79,-50.01,65.79,3.42
puerto ayora,20,EC,03/16/2020,83,-0.74,-90.35,78.8,8.05
piuma,0,BR,03/16/2020,83,-20.84,-40.72,78.8,11.54
bambous virieux,75,MU,03/16/2020,94,-20.34,57.76,79.0,3.36
oktyabrskoye,90,RU,03/16/2020,100,43.06,44.74,30.2,8.95
udachnyy,90,RU,03/16/2020,92,66.42,112.4,24.8,6.71
marsh harbour,0,BS,03/16/2020,73,26.54,-77.06,72.45,10.94
pangnirtung,100,CA,03/16/2020,91,66.15,-65.71,-19.59,7.7
trairi,94,BR,03/16/2020,96,-3.28,-39.27,73.78,2.82
poplar bluff,75,US,03/16/2020,80,36.76,-90.39,41.0,4.56
albany,1,US,03/16/2020,42,42.6,-73.97,28.99,9.17
bandarbeyla,100,SO,03/16/2020,71,9.49,50.81,79.02,6.4
east london,75,ZA,03/16/2020,100,-33.02,27.91,62.6,4.7
okha,24,RU,03/16/2020,89,53.57,142.95,5.86,14.79
angoche,10,MZ,03/16/2020,97,-16.23,39.91,70.43,5.61
tuktoyaktuk,20,CA,03/16/2020,76,69.45,-133.04,-9.4,2.37
alofi,100,NU,03/16/2020,79,-19.06,-169.92,84.2,5.82
codrington,0,AU,03/16/2020,76,-38.27,141.97,60.51,13.85
medicine hat,90,CA,03/16/2020,71,50.05,-110.67,8.6,8.05
serta,40,PT,03/16/2020,75,39.81,-8.1,46.4,4.7
bilma,60,NE,03/16/2020,14,18.69,12.92,60.15,1.81
magaria,51,NE,03/16/2020,14,13.0,8.91,66.33,7.2
jamestown,1,US,03/16/2020,53,42.1,-79.24,28.0,9.17
hami,0,CN,03/16/2020,18,42.8,93.45,47.59,3.09
karpathos,73,GR,03/16/2020,87,35.51,27.21,60.8,10.29
samoded,89,RU,03/16/2020,75,63.61,40.51,26.11,14.85
souillac,75,MU,03/16/2020,94,-20.52,57.52,79.0,3.36
kavaratti,20,IN,03/16/2020,74,10.57,72.64,84.2,4.7
beloha,51,MG,03/16/2020,97,-25.17,45.05,70.34,8.3
hermanus,50,ZA,03/16/2020,77,-34.42,19.23,64.63,32.01
camabatela,100,AO,03/16/2020,98,-8.19,15.38,64.83,4.61
rio gallegos,100,AR,03/16/2020,58,-51.62,-69.22,62.96,16.04
simplicio mendes,100,BR,03/16/2020,87,-7.85,-41.91,74.07,2.57
togur,100,RU,03/16/2020,96,58.36,82.83,34.27,17.74
brazzaville,20,CG,03/16/2020,88,-4.27,15.28,77.0,4.7
portland,20,US,03/16/2020,55,45.52,-122.68,41.0,8.05
maniitsoq,38,GL,03/16/2020,72,65.42,-52.9,-1.52,5.91
saint-georges,75,GD,03/16/2020,88,12.06,-61.75,77.0,12.21
porto-vecchio,0,FR,03/16/2020,87,41.59,9.28,48.2,10.29
upington,0,ZA,03/16/2020,45,-28.45,21.26,66.2,2.24
lae,40,PG,03/16/2020,55,-6.72,146.98,91.4,5.82
jamsa,90,FI,03/16/2020,93,61.86,25.19,37.99,13.87
leningradskiy,0,RU,03/16/2020,73,69.38,178.42,13.6,4.23
bereda,20,ES,03/16/2020,76,43.27,-7.54,48.99,9.17
iqaluit,90,CA,03/16/2020,64,63.75,-68.51,-0.4,13.87
sosnovo-ozerskoye,61,RU,03/16/2020,68,52.52,111.54,30.56,19.42
