city,cloudiness,Country,date,humid,lat,lng,max_temp,wind_speed
arawa,100,PG,03/15/2020,80,-6.21,155.54,82.71,7.23
tateyama,40,JP,03/15/2020,43,34.98,139.87,51.8,19.46
tezu,85,IN,03/15/2020,70,27.92,96.17,66.51,4.9
albany,40,US,03/15/2020,43,42.6,-73.97,37.99,10.29
busselton,8,AU,03/15/2020,64,-33.65,115.33,69.01,8.19
ust-ordynskiy,64,RU,03/15/2020,51,52.8,104.75,39.2,4.47
airai,100,TL,03/15/2020,84,-8.93,125.41,66.31,2.55
adrar,0,MR,03/15/2020,6,20.5,-10.07,89.55,8.41
vagamo,74,NO,03/15/2020,93,61.88,9.1,29.61,2.93
mahebourg,40,MU,03/15/2020,74,-20.41,57.7,82.4,5.82
tahta,0,EG,03/15/2020,32,26.77,31.5,80.6,11.41
hithadhoo,68,MV,03/15/2020,55,-0.6,73.08,84.31,2.3
kichera,100,RU,03/15/2020,98,55.94,110.1,18.09,0.96
kurdzhinovo,100,RU,03/15/2020,97,43.99,40.96,31.59,4.09
cape town,20,ZA,03/15/2020,56,-33.93,18.42,75.0,27.51
severodvinsk,40,RU,03/15/2020,58,64.56,39.83,28.4,8.95
rutland,1,US,03/15/2020,46,43.62,-73.02,32.0,4.7
arraial do cabo,0,BR,03/15/2020,62,-22.97,-42.03,86.0,23.04
ushuaia,75,AR,03/15/2020,54,-54.8,-68.3,57.2,6.93
carnarvon,0,AU,03/15/2020,78,-24.87,113.63,78.8,8.05
puerto quijarro,99,BO,03/15/2020,50,-17.78,-57.77,91.89,5.39
bathsheba,75,BB,03/15/2020,65,13.22,-59.52,82.4,13.87
kampene,0,CD,03/15/2020,52,-3.6,26.67,86.67,2.98
jamestown,90,US,03/15/2020,86,42.1,-79.24,35.01,8.05
rikitea,53,PF,03/15/2020,79,-23.12,-134.97,77.85,11.59
santa cruz de la palma,40,ES,03/15/2020,56,28.68,-17.76,68.0,14.99
thompson,40,CA,03/15/2020,75,55.74,-97.86,-14.8,2.24
port alfred,80,ZA,03/15/2020,98,-33.59,26.89,64.99,1.01
faanui,7,PF,03/15/2020,77,-16.48,-151.75,82.51,13.38
severo-kurilsk,100,RU,03/15/2020,98,50.68,156.12,31.95,22.46
sola,76,VU,03/15/2020,78,-13.88,167.55,85.41,24.63
pisco,40,PE,03/15/2020,30,-13.7,-76.22,72.0,3.36
punta arenas,75,CL,03/15/2020,72,-53.15,-70.92,59.0,25.28
east london,75,ZA,03/15/2020,100,-33.02,27.91,68.0,19.46
new norfolk,90,AU,03/15/2020,58,-42.78,147.06,55.4,1.32
joao pinheiro,31,BR,03/15/2020,72,-17.74,-46.17,80.37,6.55
chuy,100,UY,03/15/2020,62,-33.7,-53.46,72.61,9.35
lebu,0,CL,03/15/2020,39,-37.62,-73.65,65.79,7.94
carlos chagas,78,BR,03/15/2020,76,-17.7,-40.77,79.65,4.74
husavik,40,IS,03/15/2020,79,66.04,-17.34,28.4,42.5
elliot,47,ZA,03/15/2020,87,-31.33,27.85,63.27,5.79
guerrero negro,0,MX,03/15/2020,75,27.98,-114.06,59.49,12.75
hambantota,20,LK,03/15/2020,70,6.12,81.12,86.0,3.36
aksarka,100,RU,03/15/2020,80,66.56,67.8,-0.63,3.27
bobrovytsya,72,UA,03/15/2020,34,50.75,31.38,37.99,17.9
misratah,0,LY,03/15/2020,82,32.38,15.09,62.01,16.73
hobart,90,AU,03/15/2020,58,-42.88,147.33,55.4,7.49
kodiak,1,US,03/15/2020,79,57.79,-152.41,19.4,5.82
ruteng,90,ID,03/15/2020,90,-8.61,120.47,67.77,2.86
jalu,0,LY,03/15/2020,12,29.03,21.55,81.99,5.7
san jose,90,US,03/15/2020,71,37.34,-121.89,50.0,8.05
bialong,4,PH,03/15/2020,70,6.98,124.89,74.61,2.68
filingue,100,NE,03/15/2020,7,14.35,3.32,99.27,11.16
mataura,63,NZ,03/15/2020,95,-46.19,168.86,54.0,3.0
qaanaaq,100,GL,03/15/2020,63,77.48,-69.36,-14.31,1.63
bluff,73,NZ,03/15/2020,95,-46.6,168.33,54.0,3.0
sur,99,OM,03/15/2020,60,22.57,59.53,71.91,11.92
georgetown,40,MY,03/15/2020,89,5.41,100.34,87.8,3.2
malaya,20,PH,03/15/2020,65,14.4,121.34,82.4,6.93
mount darwin,100,ZW,03/15/2020,86,-16.77,31.58,73.51,2.68
talavera de la reina,31,ES,03/15/2020,57,39.96,-4.83,66.69,15.08
fortuna,90,US,03/15/2020,93,40.6,-124.16,39.99,9.17
whitehorse,20,CA,03/15/2020,77,60.72,-135.05,0.0,1.16
tuktoyaktuk,100,CA,03/15/2020,91,69.45,-133.04,-1.35,20.2
gagnoa,66,CI,03/15/2020,51,6.13,-5.94,90.81,4.09
khandbari,17,NP,03/15/2020,72,27.37,87.2,39.31,5.14
jodar,98,ES,03/15/2020,53,37.84,-3.35,70.0,12.37
desaguadero,47,PE,03/15/2020,67,-16.57,-69.04,51.21,10.87
